~id,~label,d3:string,d2:string,d1:string,d0:string
gc_1070,vertex,Unknown to ISGCI,B_{0}-VPG ∩ triangle-free,DarkGray,?
gc_1064,vertex,NP-complete,B_{1}-VPG,DarkGray,?
gc_239,vertex,NP-complete,boxicity 2,DarkGray,?
gc_935,vertex,NP-complete,3-DIR,DarkGray,?
gc_1204,vertex,NP-hard,2-SEG,DarkGray,?
gc_862,vertex,NP-complete,SEG,DarkGray,?
gc_1084,vertex,Unknown to ISGCI,2-circular arc,DarkGray,?
gc_40,vertex,NP-complete,2-interval,DarkGray,?
gc_1085,vertex,Unknown to ISGCI,unit 2-circular arc,DarkGray,?
gc_1086,vertex,Unknown to ISGCI,2-circular track,DarkGray,?
gc_133,vertex,,circular arc,DarkGray,?
gc_1088,vertex,Unknown to ISGCI,3-circular track,DarkGray,?
gc_771,vertex, successor of gc_771 in exclusion graph,2-connected,IndianRed,-
gc_876,vertex,NP-complete,balanced 2-interval,DarkGray,?
gc_902,vertex,,treewidth 5,DarkGray,?
gc_281,vertex,,kernel solvable,DarkGray,?
gc_1195,vertex,is_2_strongly_regular returns False,2-strongly regular,IndianRed,-
gc_732,vertex,NP-complete,caterpillar arboricity <= 2,DarkGray,?
gc_25,vertex,,alternately orientable,DarkGray,?
gc_4,vertex,NP-complete,perfectly orderable,DarkGray,?
gc_1082,vertex,NP-complete,unit 2-track,DarkGray,?
gc_1080,vertex,NP-complete,3-track,DarkGray,?
gc_1019,vertex,Unknown to ISGCI,unit Helly circle,DarkGray,?
gc_1113,vertex,,well-dominated,DarkGray,?
gc_949,vertex,NP-complete,co-interval filament,DarkGray,?
gc_111,vertex,NP-complete,circle-polygon,DarkGray,?
gc_314,vertex,NP-complete,polar,DarkGray,?
gc_1258,vertex,,"(co(C_{7}),odd-hole)-free",DarkGray,?
gc_395,vertex,,"nK_{2}-free, fixed n",DarkGray,?
gc_735,vertex,is_gc_735 returns False,K_{2} U claw-free,IndianRed,-
gc_1276,vertex,is_gc_1276 returns False,"(5-pan,T_{2},X_{172})-free",IndianRed,-
gc_816,vertex,is_e_free returns False,E-free,IndianRed,-
gc_156,vertex,user blacklisted this class,co-P_{4}-brittle,DarkGray,?
gc_916,vertex,,"nP_{3}-free, fixed n",DarkGray,?
gc_737,vertex,is_p7_free returns False,P_{7}-free,IndianRed,-
gc_936,vertex,Unknown to ISGCI,3-DIR contact,DarkGray,?
